lng,lat,pi,dst,sid,stn,dsts,types
-106.233333,48.866667,69,pollen surface sample,1284,JHMN36 (McAndrews and Wright 1969),pollen surface sample,1
-108.866667,42.45,69,pollen surface sample,1293,JHMS08 (McAndrews and Wright 1969),pollen surface sample,1
-102.066667,44.666667,69,pollen surface sample,1312,JHMS27 (McAndrews and Wright 1969),pollen surface sample,1
-98.75,44.9,69,pollen surface sample,1318,JHMS32 (McAndrews and Wright 1969),pollen surface sample,1
-80.345833,26.354444,704,pollen surface sample,1323,Site 3 (Jensen 1998),pollen surface sample,1
-80.385278,26.3125,704,pollen surface sample,1336,Site 16 (Jensen 1998),pollen surface sample,1
-97.75,63.28,119,pollen surface sample,1375,Yathkyed Lake Site 2,pollen surface sample,1
-85.67,68.3,119,pollen surface sample,1385,Makar Inlet,pollen surface sample,1
-75.13,68.92,119,pollen surface sample,1388,Longstaff Bluff,pollen surface sample,1
-70.55,44.9,40,pollen surface sample,1452,Sandy River Ponds,pollen surface sample,1
-70.25,44.58,40,pollen surface sample,1455,Wilson Pond,pollen surface sample,1
-83.195,30.641667,44,pollen,1568,Langdale Pond,"pollen,
 loss-on-ignition",2
-87.97207,46.719435000000004,20,pollen,1613,Lost Lake,pollen,1
-76.554167,45.363333,8,pollen,1667,McLaughlan Lake,pollen,1
-94.25,51.383333,69,pollen,1713,Mordsger Lake,pollen,1
176.166667,64.783333,828,pollen,1773,Northern Coast of Onemen Gulf,pollen,1
-77.7,55.291667,40,pollen surface sample,1810,PB05,pollen surface sample,1
-71.6,46.566667,85,pollen surface sample,1885,Issoudon,pollen surface sample,1
-70.183333,41.258333,131,pollen surface sample,1927,Sheep Pond,pollen surface sample,1
-110.566667,64.116667,146,pollen,1937,Queens Lake,pollen,1
-72.066944,58.232778,61,pollen,1945,Rivière-aux-Feuilles 1,"pollen,
 loss-on-ignition",2
-105.383333,51.311111,74,pollen surface sample,1995,Imperial,pollen surface sample,1
-119.93,48.55,21,pollen surface sample,2181,"Site 37 (Mack, Bryant, and Pell 1978)",pollen surface sample,1
-117.27,46.67,21,pollen surface sample,2182,"Site 38 (Mack, Bryant, and Pell 1978)",pollen surface sample,1
-100.5,37.25,53,pollen surface sample,2198,K5 (Kapp 1965],pollen surface sample,1
-97.42,42.77,53,pollen surface sample,2200,K9 (Kapp 1965],pollen surface sample,1
-91.95,43.52,53,pollen surface sample,2203,K14 (Kapp 1965],pollen surface sample,1
-95.383333,73.35,40,pollen surface sample,2218,RS26,pollen surface sample,1
-6.733333,42.1,106,loss-on-ignition,2255,Sanabria Marsh,"loss-on-ignition,
 pollen",2
-112.576388888889,29.7708333333333,7,pollen,2265,Sierra Bacha 1,"pollen,
 pollen surface sample",2
-81.95,27.966667,106,pollen,2269,Scott Lake,pollen,1
-88.62,46.08,98,pollen surface sample,90,Site 20 (Swain unpublished),pollen surface sample,1
-91.47,45.82,98,pollen surface sample,104,Site 34 (Swain unpublished),pollen surface sample,1
-88.2,43.6,98,pollen surface sample,109,Site 39 (Swain unpublished),pollen surface sample,1
-74.13,43.97,98,pollen surface sample,158,Site 88 (Swain unpublished),pollen surface sample,1
-74.45,43.98,98,pollen surface sample,162,Site 92 (Swain unpublished),pollen surface sample,1
149.5,-36.516667,571,loss-on-ignition,247,Bega Swamp,"loss-on-ignition,
 pollen",2
-110.60070999999999,44.956109999999995,258,pollen,273,Blacktail Pond,pollen,1
-73.868056,45.961111,61,pollen,322,Saint-Calixte,pollen,1
-122.45,44.4,238,pollen surface sample,401,Site 30 (Heusser 1978),pollen surface sample,1
-122.25,44.35,238,pollen surface sample,403,Site 32 (Heusser 1978),pollen surface sample,1
-121.75,44.25,238,pollen surface sample,411,Site 40 (Heusser 1978),pollen surface sample,1
-123.85,47.5,238,pollen surface sample,436,Humptulips 2,pollen surface sample,1
-124.55,47.83,238,pollen surface sample,452,Hoh River 3,pollen surface sample,1
-124.67,47.85,238,pollen surface sample,453,Hoh River 4,pollen surface sample,1
-74.016955,43.748575,112,pollen,482,Clear Pond,pollen,1
-57.71,49.69,69,pollen,488,Comb Lake,pollen,1
-111.183333,44.125,11,pollen,520,Cub Lake,pollen,1
-80.338889,26.516667,710,pollen surface sample,545,Loxahatchee Site 1,pollen surface sample,1
-73.53,42.7,41,pollen surface sample,555,Davitt Pond,pollen surface sample,1
-93.16449,44.75815,69,pollen,799,Farquar Lake,pollen,1
-93.87066,44.2329,69,pollen,841,George Lake,pollen,1
-74.370833,45.945833,61,loss-on-ignition,842,Lac à St-Germain,"loss-on-ignition,
 pollen",2
-89,38.57,163,pollen surface sample,912,Centralia Lake,pollen surface sample,1
-90.17,40.55,163,pollen surface sample,917,Lake Wee-ma-tuk,pollen surface sample,1
-73.316667,42.283333,81,pollen,955,Greenwater Pond,pollen,1
137.083333,50.066667,827,pollen,966,Gurskii Peat [Site 4381],pollen,1
-57.233333,51.5,60,pollen surface sample,1003,HFL03,pollen surface sample,1
-56.283333,52.55,60,pollen surface sample,1006,HFL06,pollen surface sample,1
-62.916667,57.333333,60,pollen surface sample,1065,HFL68,pollen surface sample,1
141.966667,48.816667,827,pollen,1122,Izylmet'evskaya Terrace Exposure 3410,pollen,1
-114.518333333333,50.1883333333333,69,pollen,1135,January Cave [EbPp-Vp],pollen,1
-64.47,45.4,742,pollen surface sample,1154,Site 18 (Railton 1973),pollen surface sample,1
-56.08,49.15,742,pollen surface sample,1168,Site 32 (Railton 1973),pollen surface sample,1
-131.77,69.03,86,pollen surface sample,1177,"Site 4 (Ritchie, J.C. 1974)",pollen surface sample,1
135.583333,67.75,306,pollen,11,"Konus Exposure, Adycha River",pollen,1
-76.08,41.27,98,pollen surface sample,145,Site 75 (Swain unpublished),pollen surface sample,1
131.9,43.25,827,pollen,201,Amurskii Gulf,pollen,1
-85.040278,46.7,90,pollen,205,Andrus Lake,pollen,1
-6.25,53.166667,129,pollen,224,Ballybetagh,pollen,1
-119.260278,37.195833,130,pollen,226,Balsam Meadow,pollen,1
-76.408333,57.125,40,pollen surface sample,260,BI05,pollen surface sample,1
-94.970775,47.559174999999996,6,pollen,266,Big John Pond,pollen,1
-81.73,43.22,69,pollen,305,Brophy Ditch,pollen,1
26.433333,53.416667,708,pollen,355,Chernikhovo,pollen,1
-121.87,45.55,238,pollen surface sample,422,Site 51 (Heusser 1978),pollen surface sample,1
-124.02,47.25,238,pollen surface sample,432,Upper Moclips River 1,pollen surface sample,1
-86.544595,41.638535,9,pollen,479,Clear Lake,pollen,1
